AccountCode,billingName,rateSheetAccount,billingAddress,billingPhone,billingEmail,billingTerms,Notes,RT AMBU,RT AMBU InLoop,RT w/WC,RT NEED WC,RT RECL,RT STR,1W Ambu InLoop,1W AMBU,1W w/WC,1W NEED WC,1W RECL,1W STR,O2,O2 min,AH MF ST,AH MF END,+Sat?,+Sun?,+Holiday,AHRate,3S MF ST,3S MF END,3SRate,WKND,HOLIDAY,ATTENDANT,ATTmin,WAIT TIME,WaitMin,WaitGrace,Deadhead1,Dhstart,Deadhead2,DH2start,Deadhead3,DH3start,Dhflat,CANCELED,CanHrs,HAZ MAT,BARI WC,BARI WC RT,BARI STR,BARI STR RT,FuelSC,MILEAGE 4,MILEAGE 3,MILEAGE 2,MILEAGE 1,Incl Mi
Allegiant Wellness Rehab,Allegiant Wellness and Rehab,Allegiant Wellness and Rehab,"724 W Rendon Crowley Rd, Crowley, TX 76036 ",(817) 297-4141 ,,,,$86.70,,$86.70,$107.10,$127.50,$168.30,,$45.90,$45.90,$56.10,$66.30,$86.70,$20.40,30,17:00,08:00,,,,$20.40,,,,$20.40,,,,,,,$1.02,30,,,,,,$25.50,2,$63.00,,,,,,,,Mileage *STRETCHER*  $4.08,Mileage  $3.06**,
Baylor Hospital Voucher,Baylor Scott & White All Saints Medical Center ,Baylor All Saints Medical Center    1400 8th Ave,"1400 8th Ave, Fort Worth, TX 76104 ",(817) 926-2544 ,,,,$80.00,,$80.00,$100.00,$110.00,$170.00,,$40.00,$40.00,$50.00,$60.00,$65.00,$15.00,,17:00,08:00,,,,$20.00,,,,$20.00,$20.00,$20.00,60,$20.00,60,,$1.00,30,,,,,,$35.00,4,$63.00,$50.00,,,,,,,,Mileage  $3,
Baylor Institute Rehab SW,Baylor Rehab Institute Southwest,Baylor Rehab Hospital    6601 Harris Pkwy,"6601 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-9600 ,,,,$80.00,,$100.00,$100.00,$100.00,$160.00,,$40.00,$40.00,$50.00,$60.00,$65.00,$15.00,,17:00,23:00,,,,$20.00,23:00,7:00,$50.00,$20.00,$20.00,$20.00,60,$20.00,60,,$1.00,30,$2.00,100,,,,$35.00,4,$63.00,$50.00,,,,,,,, - Mileage - $3,
Broadway Cityview,Broadway Cityview,Watermark at Broadway Cityview,"5301 Bryant Irvin Rd, Fort Worth, TX 76132 ",(817) 294-2280 ,,,,$120.00,,$120.00,$140.00,$140.00,$200.00,,$60.00,$60.00,$70.00,$70.00,$100.00,$25.00,30,17:00,08:00,y,,,$30.00,,,,$50.00,,,,$25.00,30,,$1.00,0,$2.00,31,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4  ,
Carlyle at Stonebridge Park Southlake,The Carlyle at Stonebridge Park,Carlyle at Stonebridge Park,"170 Stonebridge Ln, Southlake, TX 76092 ",(817) 431-5778 ,,,,$110.00,,$110.00,$130.00,$150.00,$230.00,,$55.00,$55.00,$65.00,$75.00,$115.00,$25.00,30,17:00,07:00,,,,$35.00,,,,$35.00,$50.00,$35.00,30,$35.00,30,,$2.00,30,,,,,,$35.00,2,$63.00,,,,,,,,, - Mileage - $5,
Clear Sky,ClearSky Rehabilitation Hospital of Weatherford ,Clear Sky Rehab Hospital of Weatherford,"703 Eureka St, Weatherford, TX 76086 ",(682) 803-0100 ,,,,$120.00,,$120.00,$140.00,$140.00,$200.00,,$60.00,$60.00,$70.00,$70.00,$100.00,$20.00,,17:00,22:00,,,,$20.00,20:00,8:00,$20.00,$20.00,$20.00,$20.00,60,,,,$1.00,,,,,,,$35.00,2,$63.00,,,,,,,,Mileage *STRETCHER*  $5,Mileage  $4**,
College Park Rehabilitation and Care Center,College Park Rehabilitation and Care Center,College Park Nursing & Rehab (Weatherford),"1715 Martin Dr, Weatherford, TX 76086 ",(817) 458-3100 ,,,,$90.00,,$90.00,$110.00,$130.00,$200.00,,$50.00,$50.00,$60.00,$70.00,$100.00,$20.00,60,17:00,23:00,,,,$25.00,23:00,7:00,$50.00,$25.00,$25.00,$20.00,30,$20.00,30,,$1.00,30,$2.00,100,,,,$35.00,4,$63.00,$50.00,,,,,,,Mileage *STRETCHER*  $4,Mileage  $3**,
CTT Comp,CTT Comp,,,,,,,n/a,,,,,,,,,,,,,,17:00,23:00,,,,$30.00,23:00,7:00,$55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Village Southlake,Discovery Village Southlake,Discovery Village at Southlake,"101 Watermere Dr, Southlake, TX 76092 ",(817) 482-1342 ,,,,$90.00,,$90.00,$110.00,$130.00,$200.00,,$50.00,$50.00,$60.00,$70.00,$100.00,$20.00,60,17:00,23:00,,,,$25.00,23:00,7:00,$50.00,$25.00,$25.00,$20.00,30,$20.00,30,60,$1.00,30,$2.00,100,,,,$35.00,4,$63.00,$50.00,,,,,,,Mileage *STRETCHER*  $4,Mileage  $3**,
Encompass Abilene,Encompass Health Rehabilitation Hospital of Abilene ,Encompass Health Abilene,"6401 Directors Pkwy, Abilene, TX 79606 ",(325) 691-1600 ,,,,$90.00,,$90.00,$110.00,$130.00,$180.00,,$45.00,$45.00,$55.00,$65.00,$90.00,$20.00,,21:00,07:00,y,y,,$20.00,,,,$20.00,,$20.00,60,$20.00,60,60,$3.00,30,,,,,,$35.00,4,$63.00,,,,,,,,,Mileage  $4,
