AccountCode,billingName,billingAddress,billingPhone,billingEmail,ratePlan,billingTerms,Notes,rateMatchType,rateMatchScore,rateSheetAccount,ROUND TRIP AMBULATORY,ROUND TRIP w/WC,ROUND TRIP NEEDS WC,ROUND TRIP RECLINER,ROUND TRIP STRETCHER,1-WAY AMBULATORY,1-WAY w/WHEELCHAIR,1-WAY NEEDS WHEELCHAIR,1-WAY RECLINER,1-WAY STRETCHER,OXYGEN,AFTER HOURS,3RD SHIFT,WEEKEND,HOLIDAY,ATTENDANT,WAIT TIME,DRY RUN,CANCELLATION,HAZ MAT,BARI CHARGE,BARI STR,MILEAGE 4,MILEAGE 3,MILEAGE 2,MILEAGE 1
Allegiant Wellness Rehab,Allegiant Wellness and Rehab,"724 W Rendon Crowley Rd, Crowley, TX 76036 ",(817) 297-4141 ,,,,,fuzzy>=0.90,0.9230769230769231,Allegiant Wellness and Rehab,86.7,86.7,107.1,127.5,168.3,45.9,45.9,56.099999999999994,66.3,86.69999999999999, - Oxygen - $20.40 for 1/2 Hour,After Hours - Mon - Fri  5pm-8am - $20.40,3rd Shift  N/A,Weekend  USE AFTER HOURS,Holiday N/A,Attendant N/A,Wait Time  N/A,Dry Run 30+ Mi $1.02/Mile,2 Hours or less - Cancellation - $25.50,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $na,,,,Mileage *STRETCHER*  $4.08,Mileage  $3.06**
Baylor Hospital Voucher,Baylor Scott & White All Saints Medical Center ,"1400 8th Ave, Fort Worth, TX 76104 ",(817) 926-2544 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor Institute Rehab SW,Baylor Rehab Institute Southwest,"6601 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-9600 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadway Cityview,Broadway Cityview,"5301 Bryant Irvin Rd, Fort Worth, TX 76132 ",(817) 294-2280 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlyle at Stonebridge Park Southlake,The Carlyle at Stonebridge Park,"170 Stonebridge Ln, Southlake, TX 76092 ",(817) 431-5778 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Sky,ClearSky Rehabilitation Hospital of Weatherford ,"703 Eureka St, Weatherford, TX 76086 ",(682) 803-0100 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Park Rehabilitation and Care Center,College Park Rehabilitation and Care Center,"1715 Martin Dr, Weatherford, TX 76086 ",(817) 458-3100 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTT Comp,CTT Comp,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Village Southlake,Discovery Village Southlake,"101 Watermere Dr, Southlake, TX 76092 ",(817) 482-1342 ,,,,,fuzzy>=0.90,0.9473684210526315,Discovery Village at Southlake,90,90,110,130,200.0,50,50,60,70,100.0, - Oxygen - $$20/hr of transport,After Hours - Mon - Fri  5pm-11pm - $25,11pm - 7am -  3rd Shift - $50,Weekend   $25, - Holiday - $25,Attendant  $20          1/2-HOUR,Wait Time  $20          1/2-HOUR,Dry Run 30-199=$1/Mi  200+=$2/mi  ,Cancellation 4 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $50,,,,Mileage *STRETCHER*  $4,Mileage  $3**
Encompass Abilene,Encompass Health Rehabilitation Hospital of Abilene ,"6401 Directors Pkwy, Abilene, TX 79606 ",(325) 691-1600 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Arlington,Encompass Health Rehabilitation Hospital of Arlington ,"3200 Matlock Rd, Arlington, TX 76015 ",(817) 468-4000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Health Cityview,Encompass Health Rehabilitation Hospital of City View ,"6701 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 370-4700 ,,,,,exact,1.0,Encompass Health Cityview ,90,90,110,130,180.0,45,45,55,65,90.0,Oxygen  $20,After Hours - Mon - Fri  9pm-7am - $20,3rd Shift  N/A,Weekend   5pm - 7am   USE AFTER HOURS,Holiday N/A,Attendant  $20/Hour,Wait Time $20/Hr AFTER 1ST HR,Dry Run < 30 Miles = $3 per Mile,Cancellation 4 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63,Bariatric Surcharge  N/A,,,,,Mileage  $4
Encompass Health Mid Cities,Encompass Health Rehabilitation Hospital of the Mid-Cities ,"2304 State Hwy 121, Bedford, TX 76021 ",(817) 684-2000 ,,,,,exact,1.0,Encompass Health Mid-Cities,90,90,110,130,180.0,45,45,55,65,90.0,Oxygen  $20,After Hours - Mon - Fri  9pm-7am - $20,3rd Shift  N/A,Weekend   5pm - 7am   USE AFTER HOURS,Holiday N/A,Attendant  $20/Hour,Wait Time $20/Hr AFTER 1ST HR,Dry Run < 30 Miles = $3 per Mile,Cancellation 4 Hrs or Less $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63,Bariatric Surcharge  N/A,,,,,Mileage  $4
Encompass Health Richardson,Encompass Health Rehabilitation Hospital of Richardson ,"3351 Waterview Pkwy, Richardson, TX 75080 ",(972) 398-5700 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Health Waco,Encompass Health Rehabilitation Hospital of Waco ,"3600 S Loop 340, Robinson, TX 76706 ",(254) 523-2200 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Plano,Encompass Health Rehabilitation Hospital of Plano ,"2800 W 15th St, Plano, TX 75075 ",(972) 612-9000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass San Angelo,"Shannon Rehabilitation Hospital, affiliate of Encompass Health ","6046 Appaloosa Trail, San Angelo, TX 76901 ",(325) 284-4000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Wichita Falls,Encompass Health Rehabilitation Hospital of Wichita Falls ,"3901 Armory Rd, Wichita Falls, TX 76302 ",(940) 720-5700 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Terrace,Garden Terrace at Fort Worth ,"7500 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 346-8080 ,,,,,exact,1.0,Garden Terrace,120,120,140,140,200.0,60,60,70,70,100.0,Oxygen  $25/HALF HR,After Hours - Mon - Sat  5pm-8am - $25,3rd Shift  N/A,Weekend- SUNDAY ONLY $50,Holiday N/A,Attendant N/A,Wait Time $25/HALF HR,Dry Run <30-$1/mi; 31+$2/mi,Cancellation 2 Hrs or Less  $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63,Bariatric Surcharge  N/A,,,,Mileage *STRETCHER*  $5, - Mileage - $4
Harris Clearfork,Texas Health Clearfork ,"5400 Clearfork Main St, Fort Worth, TX 76109 ",(817) 433-7000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Downtown,Texas Health Harris Methodist Hospital Fort Worth ,"1301 Pennsylvania Ave, Fort Worth, TX 76104 ",(817) 250-2000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Southlake,Texas Health Harris Methodist Hospital Southlake ,"1545 E Southlake Blvd, Southlake, TX 76092 ",(817) 748-8700 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Southwest,Texas Health Harris Methodist Hospital Southwest Fort Worth ,"6100 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-5000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison at Heritage,The Harrison at Heritage,"4600 Heritage Trace Pkwy, Fort Worth, TX 76244 ",(817) 741-9360 ,,,,,exact,1.0,Harrison at Heritage,90,90,110,110,160.0,50,50,60,60,85.0, - Oxygen - $$20/half-hr,After Hours - Mon - Fri  5pm-8am - $20,3rd Shift  N/A,Weekend   $20, - Holiday - $20,Attendant N/A,Wait Time  $20/Hour,Dry Run 30+ Mi $1/Mile,Cancellation 2 Hrs or Less  $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63, - Bariatric Surcharge - $N/A,,,,Mileage *STRETCHER*  $4,Mileage  $3**
Heart to Heart Hospice,Heart to Heart Hospice,"6940 River Park Cir, Fort Worth, TX 76116 ",(817) 782-9557 ,,,,,exact,1.0,Heart To Heart Hospice,120,120,140,140,200.0,60,60,70,70,100.0,Oxygen  $25/HALF HR,After Hours - Mon - Sat  5pm-8am - $25,3rd Shift  N/A,Weekend- SUNDAY ONLY $50,Holiday N/A,Attendant N/A,Wait Time $25/HALF HR,Dry Run <30-$1/mi; 31+$2/mi,Cancellation 2 Hrs or Less  $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63,Bariatric Surcharge  N/A,,,,Mileage *STRETCHER*  $5, - Mileage - $4
HEB Hospital,Texas Health Harris Methodist Hurst-Euless-Bedford ,"1600 Hospital Pkwy, Bedford, TX 76022 ",(817) 848-4000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilltop Park Rehab & Care Center,Hilltop Park Rehabilitation & Care Center,"970 Hilltop Dr, Weatherford, TX 76086 ",(817) 599-0000 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immanuel Healthcare,Immanuel’s Healthcare,"4515 Village Creek Rd, Fort Worth, TX 76119 ",(817) 451-8704 ,,,,,fuzzy>=0.90,0.95,Immanuel's Healthcare,100,100,120,120,170.0,50,50,60,60,85.0,Oxygen  $25          1/2-HOUR,After Hours - Mon - Fri  5pm-8am - $30,3rd Shift  N/A,Weekend   $30,Holiday N/A,Attendant N/A,Wait Time  $25          1/2-HOUR,Dry Run 1-30mi $1 / 31-50 mi $2 / 100+ mi = $3,Cancellation 2 Hrs or Less  $35,HazMat (Cdiff; MRSA; ESBO; CANIDID; Mask & Glove - $63,Bariatric Surcharge  N/A,,,,Mileage *STRETCHER*  $5,Mileage  $4
James L West,James L. West Center for Dementia Care,"1111 Summit Ave, Fort Worth, TX 76102 ",(817) 765-8945 ,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
