AccountCode,billingName,billingAddress,billingPhone,billingEmail,ratePlan,billingTerms,Notes
Allegiant Wellness Rehab,Allegiant Wellness and Rehab,"724 W Rendon Crowley Rd, Crowley, TX 76036 ",(817) 297-4141 ,,,,
Baylor Hospital Voucher,Baylor Scott & White All Saints Medical Center ,"1400 8th Ave, Fort Worth, TX 76104 ",(817) 926-2544 ,,,,
Baylor Institute Rehab SW,Baylor Rehab Institute Southwest,"6601 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-9600 ,,,,
Broadway Cityview,Broadway Cityview,"5301 Bryant Irvin Rd, Fort Worth, TX 76132 ",(817) 294-2280 ,,,,
Carlyle at Stonebridge Park Southlake,The Carlyle at Stonebridge Park,"170 Stonebridge Ln, Southlake, TX 76092 ",(817) 431-5778 ,,,,
Clear Sky,ClearSky Rehabilitation Hospital of Weatherford ,"703 Eureka St, Weatherford, TX 76086 ",(682) 803-0100 ,,,,
College Park Rehabilitation and Care Center,College Park Rehabilitation and Care Center,"1715 Martin Dr, Weatherford, TX 76086 ",(817) 458-3100 ,,,,
CTT Comp,CTT Comp,,,,,,
Discovery Village Southlake,Discovery Village Southlake,"101 Watermere Dr, Southlake, TX 76092 ",(817) 482-1342 ,,,,
Encompass Abilene,Encompass Health Rehabilitation Hospital of Abilene ,"6401 Directors Pkwy, Abilene, TX 79606 ",(325) 691-1600 ,,,,
Encompass Arlington,Encompass Health Rehabilitation Hospital of Arlington ,"3200 Matlock Rd, Arlington, TX 76015 ",(817) 468-4000 ,,,,
Encompass Health Cityview,Encompass Health Rehabilitation Hospital of City View ,"6701 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 370-4700 ,,,,
Encompass Health Mid Cities,Encompass Health Rehabilitation Hospital of the Mid-Cities ,"2304 State Hwy 121, Bedford, TX 76021 ",(817) 684-2000 ,,,,
Encompass Health Richardson,Encompass Health Rehabilitation Hospital of Richardson ,"3351 Waterview Pkwy, Richardson, TX 75080 ",(972) 398-5700 ,,,,
Encompass Health Waco,Encompass Health Rehabilitation Hospital of Waco ,"3600 S Loop 340, Robinson, TX 76706 ",(254) 523-2200 ,,,,
Encompass Plano,Encompass Health Rehabilitation Hospital of Plano ,"2800 W 15th St, Plano, TX 75075 ",(972) 612-9000 ,,,,
Encompass San Angelo,"Shannon Rehabilitation Hospital, affiliate of Encompass Health ","6046 Appaloosa Trail, San Angelo, TX 76901 ",(325) 284-4000 ,,,,
Encompass Wichita Falls,Encompass Health Rehabilitation Hospital of Wichita Falls ,"3901 Armory Rd, Wichita Falls, TX 76302 ",(940) 720-5700 ,,,,
Garden Terrace,Garden Terrace at Fort Worth ,"7500 Oakmont Blvd, Fort Worth, TX 76132 ",(817) 346-8080 ,,,,
Harris Clearfork,Texas Health Clearfork ,"5400 Clearfork Main St, Fort Worth, TX 76109 ",(817) 433-7000 ,,,,
Harris Downtown,Texas Health Harris Methodist Hospital Fort Worth ,"1301 Pennsylvania Ave, Fort Worth, TX 76104 ",(817) 250-2000 ,,,,
Harris Southlake,Texas Health Harris Methodist Hospital Southlake ,"1545 E Southlake Blvd, Southlake, TX 76092 ",(817) 748-8700 ,,,,
Harris Southwest,Texas Health Harris Methodist Hospital Southwest Fort Worth ,"6100 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-5000 ,,,,
Harrison at Heritage,The Harrison at Heritage,"4600 Heritage Trace Pkwy, Fort Worth, TX 76244 ",(817) 741-9360 ,,,,
Heart to Heart Hospice,Heart to Heart Hospice,"6940 River Park Cir, Fort Worth, TX 76116 ",(817) 782-9557 ,,,,
HEB Hospital,Texas Health Harris Methodist Hurst-Euless-Bedford ,"1600 Hospital Pkwy, Bedford, TX 76022 ",(817) 848-4000 ,,,,
Hilltop Park Rehab & Care Center,Hilltop Park Rehabilitation & Care Center,"970 Hilltop Dr, Weatherford, TX 76086 ",(817) 599-0000 ,,,,
Immanuel Healthcare,Immanuel’s Healthcare,"4515 Village Creek Rd, Fort Worth, TX 76119 ",(817) 451-8704 ,,,,
James L West,James L. West Center for Dementia Care,"1111 Summit Ave, Fort Worth, TX 76102 ",(817) 765-8945 ,,,,
Kindred Arlington,Kindred Hospital Tarrant County - Arlington ,"1000 N Cooper St, Arlington, TX 76011 ",(817) 548-3400 ,,,,
Legend Oaks Fort Worth,Legend Oaks Healthcare and Rehabilitation - Fort Worth ,"4240 Golden Triangle Blvd, Fort Worth, TX 76244 ",(817) 380-6400 ,,,,
Lifecare Haltom City,Life Care Center of Haltom ,"2936 Markum Dr, Haltom City, TX 76117 ",(817) 831-0545 ,,,,
MedStar Mobile Healthcare,MedStar Mobile Healthcare ,"2900 Alta Mere Dr, Fort Worth, TX 76116 ",(817) 923-3700 ,,,,
Mirabella Asst Living(pp unless Auth by Admin),Mirabella Assisted Living & Memory Care ,"4242 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 763-0088 ,,,,
North Pointe Nursing & Rehab,North Pointe Nursing & Rehabilitation ,"7804 Virgil Anthony Blvd, Watauga, TX 76148 ",(817) 498-7220 ,,,,
Pathway Hospice,Pathway Hospice ,"1101 E Arapaho Rd #130, Richardson, TX 75081 ",(214) 377-9377 ,,,,
Private Pay,Private Pay,,,,,,
Renaissance Park,Renaissance Park Multi Care Center ,"4252 Bryant Irvin Rd, Fort Worth, TX 76109 ",(817) 738-2975 ,,,,
Richland Hills Rehab,Richland Hills Rehabilitation and Healthcare Center ,"3109 Kings Ct, Fort Worth, TX 76118 ",(817) 589-2431 ,,,,
Southwest Nursing and Rehab,Southwest Nursing & Rehabilitation Center ,"5300 Altamesa Blvd, Fort Worth, TX 76133 ",(817) 346-1800 ,,,,
Stayton,The Stayton at Museum Way,"2501 Museum Way, Fort Worth, TX 76107 ",(817) 349-7140 ,,,,
Texas Health Alliance,Texas Health Harris Methodist Hospital Alliance ,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,,,,
Texas Health Azle,Texas Health Harris Methodist Hospital Azle ,"108 Denver Trail, Azle, TX 76020 ",(817) 444-8600 ,,,,
Texas Health Cleburne,Texas Health Harris Methodist Hospital Cleburne ,"201 Walls Dr, Cleburne, TX 76033 ",(817) 641-2551 ,,,,
Texas Health Huguley,Texas Health Huguley Hospital ,"11801 South Fwy, Burleson, TX 76028 ",(817) 293-9110 ,,,,
Texas Rehab Fort Worth,Texas Rehabilitation Hospital of Fort Worth ,"425 Alabama Ave, Fort Worth, TX 76104 ",(817) 820-3400 ,,,,
Texas Rehab Keller,Texas Rehabilitation Hospital of Keller ,"791 S Main St, Keller, TX 76248 ",(817) 562-9703 ,,,,
THR Alliance,Texas Health Harris Methodist Hospital Alliance ,"10864 Texas Health Trail, Fort Worth, TX 76244 ",(682) 212-2000 ,,,,
THR Denton,Texas Health Presbyterian Hospital Denton ,"3000 I-35, Denton, TX 76201 ",(940) 898-7000 ,,,,
Three Oaks Hospice,Three Oaks Hospice Fort Worth ," 500 Grapevine Hwy Suite 225, Hurst, TX 76054 ",(817) 765-6793 ,,,,
tp,TripPortal,,,,,,
Trinity Terrace,Trinity Terrace ,"1600 Texas St, Fort Worth, TX 76102 ",(817) 338-2400 ,,,,
Ultimate Plus Hospice,Ultimate Plus Hospice,"1701 River Run Suite 1015, Fort Worth, TX 76107 ",(214) 427-8227 ,,,,
Valor Hospice,Valor Hospice,"1412 W Magnolia Ave Ste 300, Fort Worth, TX 76104 ",(682) 224-8998 ,,,,
