AccountCode,ShortCode,rate_sheet_account,billingName,billing_address,billing_phone ,cancel_fee,cancel_avoid_window_hours,base_1w_ambu_inloop,base_1w_ambu,base_1w_wc,needwc_1w,recl_1w,base_1w_str,base_rt_ambu_inloop,base_rt_ambu,base_rt_wc,needwc_rt,recl_rt,base_rt_str,included_miles,wc_mile_rate_1w,str_mile_rate_1w_0_30,str_mile_rate_1w_31_100,str_mile_rate_1w_101_plus,wc_mile_rate_rt,str_mile_rate_rt,mile_rate_0_30,mile_rate_31_100,mile_rate_101_plus,after_hours_start,after_hours_end,regular_includes_sat,regular_includes_sun,after_hours_rate,third_shift_start,third_shift_end,third_shift_rate,weekend_rate,holiday_rate,bari_wc_1w_fee,bari_wc_rt_fee,bari_str_1w_fee,bari_str_rt_fee,o2_rate,o2_block_min,att_rate,att_block_min,wait_rate,wait_block_min,wait_grace_min,hazmat_fee,fuel_surcharge,dh_rate_tier1,dh_start_miles,dh_rate_tier2,dh_tier2_start_miles,dh_rate_tier3,dh_tier3_start_miles,dh_flat_fee,invoice_include_actual_times,po_number,invoice_method,er_po_number
Allegiant Wellness Rehab,AWR,Allegiant Wellness and Rehab,Allegiant Wellness and Rehab,"724 W Rendon Crowley Rd, Crowley, TX 76036 ",(817) 297-4141 ,$25.50,2,,$45.90,$45.90,$10.20,$20.40,$86.70,,$86.70,$86.70,$20.40,$40.80,$168.30,,,$4.08,,,,,$3.06,,,17:00,08:00,,,$20.40,,,,$20.40,,,,,,$20.40,30,,,,,,$63.00,,$1.02,30,,,,,,n,,single,
Baylor Hospital Voucher,BYLR,Baylor All Saints Medical Center    1400 8th Ave,Baylor All Saints Medical Center,"1400 8th Ave, Fort Worth, TX 76104 ",(817) 926-2544 ,$35.00,4,,$40.00,$40.00,$10.00,$20.00,$65.00,,$80.00,$80.00,$20.00,$30.00,$170.00,,,$4.00,,,,,$3.00,,,17:00,08:00,,,$20.00,,,,$20.00,$20.00,$50.00,,,,$15.00,,$15.00,,$20.00,60,,$63.00,,$1.00,30,,,,,,y,,individual,
Baylor Institute Rehab SW,BIRSW,Baylor Rehab Hospital    6601 Harris Pkwy,Baylor Rehab Hospital,"6601 Harris Pkwy, Fort Worth, TX 76132 ",(817) 433-9600 ,$35.00,4,,$40.00,$40.00,$10.00,$20.00,$80.00,,$80.00,$80.00,$20.00,$20.00,$160.00,,,,,,,,$3.00,,,17:00,23:00,,,$20.00,23:00,7:00,$50.00,$20.00,$20.00,$50.00,,,,$20.00,60,$20.00,60,$20.00,60,,$63.00,,$1.00,30,$2.00,100,,,,y,,single,
Broadway Cityview,BWCV,Watermark at Broadway Cityview,Broadway Cityview,"5301 Bryant Irvin Rd, Fort Worth, TX 76132 ",(817) 294-2280 ,$35.00,2,,$60.00,$60.00,$10.00,$10.00,$100.00,,$120.00,$120.00,$20.00,$20.00,$200.00,,,$5.00,,,,,$4.00,,,17:00,08:00,y,,$30.00,,,,$50.00,,,,,,$25.00,30,,,$25.00,30,,$63.00,,$1.00,30,$2.00,31,,,,n,,single,
Carlyle at Stonebridge Park Southlake,CSPS,Carlyle at Stonebridge Park,Carlyle at Stonebridge Park,"170 Stonebridge Ln, Southlake, TX 76092 ",(817) 431-5778 ,$35.00,2,,$55.00,$55.00,$10.00,$20.00,$115.00,,$110.00,$110.00,$20.00,$40.00,$230.00,,,,,,,,$5.00,,,17:00,07:00,,,$35.00,,,,$35.00,$50.00,,,,,$25.00,30,$35.00,30,$35.00,30,,$63.00,,$2.00,30,,,,,,n,,single,
Clear Sky,CSRW,Clear Sky Rehab Hospital of Weatherford,Clear Sky Rehab Hospital of Weatherford,"703 Eureka St, Weatherford, TX 76086 ",(682) 803-0100 ,$35.00,2,,$60.00,$60.00,$10.00,$10.00,$100.00,,$120.00,$120.00,$20.00,$20.00,$200.00,,,$5.00,,,,,$4.00,,,17:00,22:00,,,$20.00,22:00,8:00,$20.00,$20.00,$20.00,,,,,$20.00,,$20.00,60,,,,$63.00,,$1.00,30,,,,,,n,,single,
College Park Rehabilitation and Care Center,CPRC,College Park Nursing & Rehab (Weatherford),College Park Nursing & Rehab (Weatherford),"1715 Martin Dr, Weatherford, TX 76086 ",(817) 458-3100 ,$35.00,4,,$50.00,$50.00,$10.00,$20.00,$100.00,,$90.00,$90.00,$20.00,$40.00,$200.00,,,$4.00,,,,,$3.00,,,17:00,23:00,,,$25.00,23:00,7:00,$50.00,$25.00,$25.00,$50.00,,,,$20.00,60,$20.00,30,$20.00,30,,$63.00,,$1.00,30,$2.00,100,,,,n,,single,
CTT Comp,PRPY,Private Pay ,,,,$40.00,2,,$35.00,$55.00,$10.00,$20.00,$105.00,,$60.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$7.00,$8.00,$4.00,$5.00,$4.00,,,17:00,23:00,,,$30.00,23:00,7:00,$55.00,$30.00,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,,individual,
Discovery Village at Alliance Town Center,DVATC,Discovery Village at Alliance Town Center,Discovery Village at Alliance Town Center,"9901 N Riverside Dr, Fort Worth, TX 76244",(682)610-2200,$40.00,2,,$35.00,$55.00,$10.00,$20.00,$105.00,,$60.00,$100.00,$15.00,$35.00,$200.00,,,$6.00,$7.00,$8.00,$4.00,$5.00,$4.00,,,17:00,23:00,,,$30.00,23:00,7:00,$55.00,$30.00,$55.00,$55.00,,,,$25.00,60,$25.00,30,$25.00,30,,$63.00,,$5.00,30,$7.00,101,,,,n,,single,
Discovery Village Southlake,DVSL,Discovery Village at Southlake,Discovery Village at Southlake,"101 Watermere Dr, Southlake, TX 76092 ",(817) 482-1342 ,$35.00,4,,$50.00,$50.00,$10.00,$20.00,$100.00,,$90.00,$90.00,$20.00,$40.00,$200.00,,,$4.00,,,,,$3.00,,,17:00,23:00,,,$25.00,23:00,7:00,$50.00,$25.00,$25.00,$50.00,,,,$25.00,60,$20.00,30,$20.00,30,,$63.00,,$1.00,30,$2.00,200,,,,n,,single,
